order_id,Order Date,Product Name,Category,Region,Quantity,Sales,Profit,ship_date,delivery_date,shipping_type
102745,25/12/2024,Camera,Electronics,West,5,2525,699.74,26/12/2024,29/12/2024,Standard
100259,09/01/2022,Laptop,Electronics,South,8,2928,663.54,11/01/2022,15/01/2022,Standard
100449,02/02/2023,Printer,Office,West,9,7524,2017.85,03/02/2023,05/02/2023,Standard
103066,12/05/2023,Smartwatch,Electronics,South,2,322,42.03,15/05/2023,16/05/2023,Express
102607,08/12/2024,Headphones,Accessories,West,4,3996,965.26,09/12/2024,15/12/2024,Standard
100375,09/05/2024,Monitor,Accessories,North,6,1704,199.94,09/05/2024,14/05/2024,Standard
100196,21/01/2024,Tablet,Electronics,West,6,2730,636.48,22/01/2024,25/01/2024,Standard
102160,05/12/2023,Smartphone,Electronics,North,2,876,66.68,08/12/2023,09/12/2023,Standard
100527,17/05/2022,Camera,Electronics,East,9,5634,464.71,17/05/2022,21/05/2022,Express
100584,24/02/2023,Headphones,Accessories,East,6,5358,568.34,25/02/2023,01/03/2023,Standard
101617,16/06/2022,Laptop,Electronics,NORTH,6,5310,7884.591756,18/06/2022,22/06/2022,Express
101379,05/04/2024,Smartwatch,Electronics,East,6,930,68.24,07/04/2024,13/04/2024,Standard
103299,16/12/2024,Camera,Electronics,South,2,2092,549.42,19/12/2024,24/12/2024,Standard
102514,24/05/2024,Mouse,Accessories,,6,4632,799.16,24/05/2024,28/05/2024,Standard
101561,13/11/2022,Mouse,Accessories,West,3,375,107.26,14/11/2022,19/11/2022,Standard
101409,20/12/2023,Laptop,Electronics,North,1,1176,157.47,21/12/2023,26/12/2023,Standard
102713,12/05/2024,Tablet,Electronics,West,8,1848,351.02,14/05/2024,17/05/2024,Express
101144,11/04/2022,Headphones,Accessories,South,9,4752,1415.65,12/04/2022,04-13-2022,Standard
100895,14/05/2022,Laptop,Electronics,East,9,963,49.71,16/05/2022,20/05/2022,Standard
101387,06/06/2022,Monitor,Accessories,East,8,2384,444.98,07/06/2022,11/06/2022,Express
100848,22/05/2023,Tablet,Electronics,East,9,8964,448.62,25/05/2023,31/05/2023,Standard
102090,10/03/2022,Keyboard,Accessories,South,9,1764,417.95,13/03/2022,14/03/2022,Standard
